Cycle,Step,"Step Time, (h:m:s)",Current,Voltage,"Amp Hours, AH"
1,1,0:00:01,0,2.759,0
1,2,0:01:00,3,3.041,0.05
1,2,0:02:00,3,3.113,0.1
1,2,0:03:00,3,3.167,0.15
1,2,0:04:00,3,3.211,0.2
1,2,0:05:00,3,3.246,0.25
1,2,0:06:00,3,3.275,0.3
1,2,0:07:00,3,3.297,0.35
1,2,0:08:00,3,3.307,0.4
1,2,0:09:00,3,3.31,0.45
1,2,0:10:00,3,3.312,0.5
1,2,0:11:00,3,3.315,0.55
1,2,0:12:00,3,3.317,0.6
1,2,0:13:00,3,3.32,0.65
1,2,0:14:00,3,3.323,0.7
1,2,0:15:00,3,3.326,0.75
1,2,0:16:00,3,3.329,0.8
1,2,0:17:00,3,3.333,0.85
1,2,0:18:00,3,3.337,0.9
1,2,0:19:00,3,3.341,0.95
1,2,0:20:00,3,3.346,1
1,2,0:21:00,3,3.352,1.05
1,2,0:22:00,3,3.355,1.1
1,2,0:23:00,3,3.359,1.15
1,2,0:24:00,3,3.364,1.2
1,2,0:25:00,3,3.368,1.25
1,2,0:26:00,3,3.371,1.3
1,2,0:27:00,3,3.374,1.35
1,2,0:28:00,3,3.377,1.4
1,2,0:29:00,3,3.381,1.45
1,2,0:30:00,3,3.384,1.5
1,2,0:31:00,3,3.386,1.55
1,2,0:32:00,3,3.389,1.6
1,2,0:33:00,3,3.389,1.65
1,2,0:34:00,3,3.391,1.7
1,2,0:35:00,3,3.392,1.75
1,2,0:36:00,3,3.393,1.8
1,2,0:37:00,3,3.393,1.85
1,2,0:38:00,3,3.394,1.9
1,2,0:39:00,3,3.395,1.95
1,2,0:40:00,3,3.396,2
1,2,0:41:00,3,3.396,2.05
1,2,0:42:00,3,3.397,2.1
1,2,0:43:00,3,3.397,2.15
1,2,0:44:00,3,3.397,2.2
1,2,0:45:00,3,3.397,2.25
1,2,0:46:00,3,3.399,2.3
1,2,0:47:00,3,3.399,2.35
1,2,0:48:00,3,3.4,2.4
1,2,0:49:00,3,3.4,2.45
1,2,0:50:00,3,3.4,2.5
1,2,0:51:00,3,3.4,2.55
1,2,0:52:00,3,3.401,2.6
1,2,0:53:00,3,3.401,2.65
1,2,0:54:00,3,3.401,2.7
1,2,0:55:00,3,3.402,2.75
1,2,0:56:00,3,3.403,2.8
1,2,0:57:00,3,3.404,2.85
1,2,0:58:00,3,3.404,2.9
1,2,0:59:00,3,3.405,2.95
1,2,1:00:00,3,3.405,3
1,2,1:01:00,3,3.406,3.05
1,2,1:02:00,3,3.407,3.1
1,2,1:03:00,3,3.408,3.15
1,2,1:04:00,3,3.409,3.2
1,2,1:05:00,3,3.409,3.25
1,2,1:06:00,3,3.411,3.3
1,2,1:07:00,3,3.412,3.35
1,2,1:08:00,3,3.413,3.4
1,2,1:09:00,3,3.416,3.45
1,2,1:10:00,3,3.416,3.5
1,2,1:11:00,3,3.417,3.55
1,2,1:12:00,3,3.418,3.6
1,2,1:13:00,3,3.42,3.65
1,2,1:14:00,3,3.421,3.7
1,2,1:15:00,3,3.422,3.75
1,2,1:16:00,3,3.423,3.8
1,2,1:17:00,3,3.425,3.85
1,2,1:18:00,3,3.425,3.9
1,2,1:19:00,3,3.427,3.95
1,2,1:20:00,3,3.428,4
1,2,1:21:00,3,3.429,4.05
1,2,1:22:00,3,3.431,4.1
1,2,1:23:00,3,3.432,4.15
1,2,1:24:00,3,3.432,4.2
1,2,1:25:00,3,3.432,4.25
1,2,1:26:00,3,3.433,4.3
1,2,1:27:00,3,3.434,4.35
1,2,1:28:00,3,3.435,4.4
1,2,1:29:00,3,3.436,4.45
1,2,1:30:00,3,3.437,4.5
1,2,1:31:00,3,3.437,4.55
1,2,1:32:00,3,3.438,4.6
1,2,1:33:00,3,3.439,4.65
1,2,1:34:00,3,3.44,4.7
1,2,1:35:00,3,3.441,4.75
1,2,1:36:00,3,3.442,4.8
1,2,1:37:00,3,3.444,4.85
1,2,1:38:00,3,3.445,4.9
1,2,1:39:00,3,3.446,4.95
1,2,1:40:00,3,3.448,5
1,2,1:41:00,3,3.448,5.05
1,2,1:42:00,3,3.449,5.1
1,2,1:43:00,3,3.451,5.15
1,2,1:44:00,3,3.453,5.2
1,2,1:45:00,3,3.454,5.25
1,2,1:46:00,3,3.456,5.3
1,2,1:47:00,3,3.458,5.35
1,2,1:48:00,3,3.46,5.4
1,2,1:49:00,3,3.464,5.45
1,2,1:50:00,3,3.465,5.5
1,2,1:51:00,3,3.468,5.55
1,2,1:52:00,3,3.471,5.6
1,2,1:53:00,3,3.476,5.65
1,2,1:54:00,3,3.481,5.7
1,2,1:55:00,3,3.487,5.75
1,2,1:56:00,3,3.496,5.8
1,2,1:57:00,3,3.507,5.85
1,2,1:58:00,3,3.528,5.9
1,2,1:59:00,3,3.565,5.95
1,2,2:00:00,2.5,3.65,5.99
1,2,2:01:00,1.07,3.65,6.02
1,2,2:02:00,0.48,3.65,6.03
1,2,2:03:00,0.24,3.65,6.04
1,2,2:04:00,0.13,3.65,6.04
1,2,2:05:00,0.09,3.65,6.04
